Map Name,# Tris,# Spheres,# Lights,Max Ray bounces,Render mode,Phi (l/r) (radians),Theta (u/d) (radians),Field of View (°),Position (x y z),Render time (ms),Width (px),Height (px),# Threads,Acceleration Method,Max splitting depth,Structure build time (ms),
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,3947,512,512,256,,,,
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,3905,512,512,256,,,,
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,3979,512,512,256,,,,
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,3941,512,512,256,,,,
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,3960,512,512,256,,,,
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,173,512,512,256,Surface area heuristic (SAH),32,37,
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,172,512,512,256,Surface area heuristic (SAH),32,39,
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,160,512,512,256,Surface area heuristic (SAH),32,37,
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,178,512,512,256,Surface area heuristic (SAH),32,37,
bench/bunny/m/1k.map,1052,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,166,512,512,256,Surface area heuristic (SAH),32,37,
bench/bunny/m/2.5k.map,2512,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,10026,512,512,256,,,,
bench/bunny/m/2.5k.map,2512,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,10049,512,512,256,,,,
bench/bunny/m/2.5k.map,2512,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,10063,512,512,256,,,,
bench/bunny/m/2.5k.map,2512,0,2,15,Lighting w/ Phong Specular,0,0,60,0 0 0,10073,512,512,256,,,,
